A	B
KN-62	MAPK1
KN-62	MAPK11
KN-62	MAPK12
KN-62	MAPK14
KN-62	MAPK8
KN-62	P2RX7
KN-62	PRKCA
KN-62	ROCK1
KN-62	RPS6KB1
KN-62	SGK1
KN-93	CAMK2A
kenpaullone	GSK3B
kenpaullone	CDK1
kenpaullone	CDK5
kenpaullone	CCNB1
kenpaullone	CDK2
kenpaullone	LCK
ketanserin	HTR2A
ketanserin	HTR2C
ketanserin	ADRA1A
ketanserin	ADRA1B
ketanserin	ADRA1D
ketanserin	DRD1
ketanserin	DRD5
ketanserin	HTR1A
ketanserin	HTR1B
ketanserin	HTR1D
ketanserin	HTR2B
ketanserin	HTR5A
ketanserin	HTR7
ketanserin	SLC18A1
ketanserin	SLC18A2
L-368899	OXTR
L-368899	AVPR1A
L-368899	AVPR2
L-368899	OXT
L-655240	PTGES
vesamicol	SLC18A3
L-152804	NPY5R
L-165041	PPARD
L-689560	GRIN1
L-689560	GRIN2A
L-689560	GRIN2B
L-689560	GRIN2C
L-689560	GRIN2D
L-692585	GH1
L-692585	GHSR
L-693403	DRD2
L-693403	SIGMAR1
L-694247	HTR1D
L-694247	HTR1A
L-694247	HTR1B
L-701252	GRIN1
L-732138	TACR1
L-732138	TACR2
L-733060	TACR1
L-741626	DRD2
L-741626	DRD3
L-741626	DRD4
L-741626	HTR2A
L-741626	HTR2B
L-745870	DRD4
L-745870	DRD1
L-745870	DRD2
L-745870	DRD3
L-745870	HTR1A
L-745870	HTR2A
L-745870	HTR6
L-745870	HTR7
L-750667	DRD4
L-803087	SSTR4
lavendustin-a	EGFR
lavendustin-a	LCK
LE-135	RARB
LE-300	DRD5
LE-300	DRD1
LE-300	HTR2A
LFM-A12	EGFR
LFM-A13	BTK
lidocaine	SCN5A
lidocaine	EGFR
lidocaine	SCN10A
lidocaine	SCN9A
linoleamide	SOAT1
linoleamide	SOAT2
alpha-linolenic-acid	ELOVL4
alpha-linolenic-acid	FADS1
alpha-linolenic-acid	FADS2
alpha-linolenic-acid	FFAR1
alpha-linolenic-acid	FFAR4
alpha-linolenic-acid	PTGS2
alpha-linolenic-acid	SLC8A1
alpha-linolenic-acid	TRPV1
lonidamine	GCK
losartan	AGTR1
lovastatin	HMGCR
lovastatin	CYP3A5
lovastatin	HDAC2
lovastatin	ITGAL
lovastatin	NR1I2
LY-2183240	FAAH
LY-225910	CCKBR
LY-288513	CCKBR
LY-303511	CSNK2A1
LY-303511	CSNK2A2
LY-303511	CSNK2B
LY-303511	MTOR
LY-320135	CNR1
LY-341495	GRM2
LY-341495	GRM3
LY-364947	TGFBR1
LY-16350	DRD2
LY-16350	DRD3
LY-165163	HTR1A
LY-165163	HTR1D
LY-278584	HTR3A
LY-255283	LTB4R
LY-255283	LTB4R2
lamotrigine	SCN1A
lamotrigine	SCN2A
lamotrigine	SCN3A
leflunomide	DHODH
leflunomide	AHR
leflunomide	CYP2C19
leflunomide	JAK3
leflunomide	PTK2B
leflunomide	STAT6
levcromakalim	KCNJ8
levcromakalim	ABCC9
levcromakalim	KCNJ5
levocabastine	HRH1
levocabastine	NTSR2
lidoflazine	SCN1A
lidoflazine	SCN3A
lidoflazine	SLC29A1
lobelanidine	SLC18A2
lobelanidine	CHRNA10
lobelanidine	CHRNA4
lobelanidine	CHRNA9
lobelanidine	CHRNB2
lobelanidine	OPRM1
loperamide	OPRM1
loperamide	OPRD1
loperamide	CACNA1A
loperamide	CALM1
loperamide	CYP2B6
loperamide	CYP2C8
loperamide	NPR2
loperamide	OPRK1
loperamide	POMC
loreclezole	GABRB2
loreclezole	GABRB3
luzindole	MTNR1B
luzindole	MTNR1A
lylamine	CNR1
lysergol	HTR1B
lysergol	HTR1D
lysergol	HTR1E
bemesetron	HTR3A
bemesetron	HTR3B
MDL-72832	HTR1A
MDL-28170	CAPN1
MDL-28170	CTSB
MDL-28170	CTSL
MDM2-inhibitor	MDM2
mebendazole	TUBA1A
mebendazole	TUBB
mebendazole	TUBB4B
meclozine	NR1I3
meclozine	HRH1
meclofenamic-acid	PTGS1
meclofenamic-acid	PTGS2
meclofenamic-acid	ALOX5
meclofenamic-acid	CNR1
meclofenamic-acid	KCNQ2
meclofenamic-acid	KCNQ3
medrysone	NR3C1
mefenamic-acid	PTGS2
mefenamic-acid	PTGS1
mefenamic-acid	KCNQ1
mefenamic-acid	TRPM3
MEK1-2-inhibitor	MAP2K1
MEK1-2-inhibitor	MAP2K2
mesoridazine	DRD2
mesoridazine	HTR2A
methocarbamol	CA1
methoprene-acid	NCOA2
methoprene-acid	NR1H3
methoprene-acid	RXRA
methoprene-acid	RXRB
BRD-K14844937	GABRA1
BRD-K14844937	GABRA2
BRD-K14844937	GABRA3
BRD-K14844937	GABRA5
BRD-K28680267	CCKAR
BRD-K28680267	GABRA1
BRD-K28680267	GABRB2
BRD-K28680267	GABRG2
methylnorlichexanthone	AURKB
methylnorlichexanthone	KDR
methylnorlichexanthone	PIM1
metoclopramide	DRD2
metoclopramide	HTR3A
metoclopramide	HTR4
metoclopramide	CHRM1
metoclopramide	HTR3B
metoprolol	ADRB1
metoprolol	ADRB2
MG-132	PSMB1
minoxidil	KCNJ8
minoxidil	ABCC9
minoxidil	KCNJ1
minoxidil	KCNJ10
minoxidil	KCNJ11
minoxidil	PTGS1
minoxidil	REN
ML-3163	CYP2D6
ML-3163	CYP3A4
ML-3163	MAPK11
ML-3163	MAPK12
ML-3163	MAPK14
ML-7	MYLK
modafinil	ADRA1B
modafinil	CYP1A2
modafinil	CYP2B6
modafinil	CYP2C19
modafinil	CYP3A4
modafinil	CYP3A5
modafinil	SLC6A3
LY-456236	GRM1
MRS-1220	ADORA2B
MRS-1220	ADORA3
MRS-1754	ADORA2B
MRS-1754	ADORA1
MRS-1754	ADORA2A
MRS-1754	ADORA3
MRS-1845	ORAI1
MT-21	CYCS
MT-21	SLC25A4
MY-5445	PDE5A
mycophenolate-mofetil	IMPDH1
mycophenolate-mofetil	IMPDH2
mycophenolate-mofetil	HCAR2
malonoben	EGFR
melperone	DRD2
melperone	HTR1A
melperone	HTR2A
meptazinol	BCHE
methantheline	CHRM1
methantheline	HRH2
levomepromazine	ADRA1A
levomepromazine	ADRA1B
levomepromazine	ADRA1D
levomepromazine	ADRA2A
levomepromazine	ADRA2B
levomepromazine	ADRA2C
levomepromazine	CHRM1
levomepromazine	CHRM2
levomepromazine	CHRM3
levomepromazine	CHRM4
levomepromazine	CHRM5
levomepromazine	DRD1
levomepromazine	DRD2
levomepromazine	DRD3
levomepromazine	DRD4
levomepromazine	DRD5
levomepromazine	HRH1
levomepromazine	HTR2A
levomepromazine	HTR2C
methyllycaconitine	CHRNA7
mevastatin	HMGCR
mianserin	HTR2A
mianserin	HTR2C
mianserin	ADRA1A
mianserin	ADRA1B
mianserin	ADRA1D
mianserin	HRH1
mianserin	HTR2B
mianserin	HTR6
mianserin	HTR7
mianserin	ADRA2A
mianserin	ADRA2B
mianserin	ADRA2C
mianserin	DRD1
mianserin	DRD2
mianserin	DRD3
mianserin	DRD5
mianserin	HRH2
mianserin	HRH4
mianserin	HTR1A
mianserin	HTR1F
mianserin	OPRK1
mianserin	SLC6A2
mianserin	SLC6A3
mianserin	SLC6A4
mibefradil	CACNA1G
mibefradil	CACNA1H
mibefradil	CACNA1C
mibefradil	CACNA1I
mibefradil	ANO1
mibefradil	CACNA1D
mibefradil	CACNA1F
mibefradil	CACNA1S
mibefradil	CACNB1
mibefradil	CACNB2
mibefradil	CACNB3
mibefradil	CACNB4
mibefradil	CATSPER1
mibefradil	CATSPER2
mibefradil	CATSPER3
mibefradil	CATSPER4
mibefradil	CYP3A5
mibefradil	CYP3A7
mibefradil	SCN2A
mibefradil	SCN4A
mibefradil	SCN5A
mibefradil	SCN9A
mifepristone	PGR
mifepristone	NR3C1
mifepristone	AR
mifepristone	CYP2B6
mifepristone	CYP2C8
mifepristone	CYP3A5
mifepristone	CYP3A7
mifepristone	NR1I2
milrinone	PDE3A
milrinone	PDE2A
milrinone	PDE3B
milrinone	PDE5A
moexipril	ACE
moexipril	ACE2
molsidomine	GUCY1A3
mometasone	NR3C1
monastrol	KIF11
moxonidine	NISCH
moxonidine	ADRA2A
moxonidine	ADRA2B
moxonidine	ADRA2C
hexamethyleneamiloride	GNRHR
hexamethyleneamiloride	ADRA2A
hexamethyleneamiloride	GNRH1
hexamethyleneamiloride	PLAU
hexamethyleneamiloride	SLC9A1
desmethylclozapine	CHRM1
desmethylclozapine	DRD2
desmethylclozapine	DRD3
desmethylclozapine	HTR2A
BRD-K71726959	CDK1
BRD-K71726959	CDK5
NAN-190	HTR1A
NAN-190	ADRA1A
NAN-190	ADRA1B
NAN-190	ADRA1D
NAN-190	HTR1F
naphazoline	ADRA1A
naphazoline	ADRA2A
NAS-181	HTR1B
nateglinide	ABCC8
nateglinide	KCNJ11
nateglinide	CYP3A4
nateglinide	INS
nateglinide	KCNJ10
nateglinide	PPARG
NBI-27914	CRHR1
NECA	ADORA1
NECA	ADORA2A
NECA	ADORA2B
NECA	ADORA3
NECA	HSP90B1
NGB-2904	DRD3
niguldipine	ADRA1A
niguldipine	CACNA1C
niguldipine	ADRA1B
niguldipine	ADRA1D
nilutamide	AR
nilutamide	CYP2C19
nizatidine	HRH2
NNC-05-2090	SLC6A11
NNC-05-2090	SLC6A12
NNC-05-2090	SLC6A13
BRD-K08438429	GBA
BRD-K08438429	SSTR4
NNC-55-0396	CATSPER1
NNC-55-0396	CATSPER2
NNC-55-0396	CATSPER3
NNC-55-0396	CATSPER4
NNC-63-0532	OPRL1
NNC-711	SLC6A1
NNC-711	SIGMAR1
nobiletin	ABCB1
nobiletin	MAP2K1
nobiletin	TYR
noreleagnine	ADRA2A
noreleagnine	ADRA2B
noreleagnine	ADRA2C
noreleagnine	HTR2A
noreleagnine	MAOA
noreleagnine	MAOB
norethisterone	PGR
noretynodrel	PGR
norgestrel	CYP2E1
norgestrel	PGR
nortriptyline	KCNJ10
nortriptyline	SLC6A2
nortriptyline	SLC6A4
nortriptyline	ADRA1A
nortriptyline	ADRA1B
nortriptyline	ADRA1D
nortriptyline	ADRA2A
nortriptyline	ADRA2B
nortriptyline	ADRA2C
nortriptyline	ADRB1
nortriptyline	ADRB2
nortriptyline	ADRB3
nortriptyline	CHRM1
nortriptyline	CHRM2
nortriptyline	CHRM3
nortriptyline	CHRM4
nortriptyline	CHRM5
nortriptyline	CYP2C19
nortriptyline	DRD2
nortriptyline	HRH1
nortriptyline	HTR1A
nortriptyline	HTR2A
nortriptyline	HTR2C
nortriptyline	HTR6
nortriptyline	PGRMC1
nortriptyline	PIK3CD
nortriptyline	SIGMAR1
noscapine	BDKRB2
noscapine	SIGMAR1
NPC-15199	ICAM1
NPC-15199	PPARG
NSC-3852	HDAC1
NSC-632839	USP2
NSC-632839	USP7
NSC-632839	SENP2
NSC-632839	USP1
NSC-693868	CDK1
NSC-693868	CDK5
NSC-693868	GSK3A
NSC-693868	GSK3B
SA-792541	CASP3
SA-792541	CDC25A
SA-792541	CDC25B
NTNCB	NPY5R
buphenine	ADRB2
nafadotride	DRD3
nafadotride	DRD2
nafadotride	HTR1A
nafcillin	CYP3A4
naftifine	SQLE
naltriben	OPRD1
naltriben	OPRK1
naltriben	OPRM1
naltrindole	OPRD1
naltrindole	OPRK1
naltrindole	OPRM1
naproxen	PTGS2
naproxen	PTGS1
necrostatin-1	IDO1
necrostatin-1	KRR1
necrostatin-1	RIPK1
nefazodone	HTR2A
nefazodone	SLC6A4
nefazodone	HTR2C
nefazodone	SLC6A2
nefazodone	ADRA1A
nefazodone	ADRA1B
nefazodone	ADRA2A
nefazodone	CYP3A4
nefazodone	CYP3A5
nefazodone	CYP3A7
nefazodone	HTR1A
nefazodone	SLC6A3
nemonapride	DRD2
nemonapride	DRD3
nemonapride	DRD4
nifedipine	CACNA1C
nifedipine	CACNA1D
nifedipine	CACNA1S
nifedipine	CACNA2D1
nifedipine	CACNA1F
nifedipine	CACNA1H
nifedipine	CACNB2
nifedipine	CALM1
nifedipine	CYP3A5
nifedipine	GLRA1
nifedipine	GLRA3
nifedipine	GLRB
nifedipine	KCNA1
nifedipine	KCNA5
nifedipine	NR1I2
nifedipine	TRPM3
nimesulide	PTGS2
nimesulide	LTF
nimesulide	PLA2G2E
nimesulide	PTGS1
nisoxetine	SLC6A2
nisoxetine	SLC6A3
nisoxetine	SLC6A4
nomegestrol	PGR
norcyclobenzaprine	HTR2A
levonorgestrel	PGR
levonorgestrel	AR
levonorgestrel	CYP2E1
levonorgestrel	ESR1
levonorgestrel	SRD5A1
norketamine	CYP2B6
norketamine	CYP2C19
norketamine	CYP3A5
norketamine	GRIN1
O-2050	CNR1
OBAA	PLA2G1B
ODQ	GUCY1A2
ODQ	GUCY1A3
ODQ	GUCY1B3
OMDM-2	GPR119
omeprazole	ATP4A
omeprazole	CLCN2
omeprazole	CYP1A2
omeprazole	CYP2C19
orphenadrine	CYP2B6
orphenadrine	GRIN1
orphenadrine	GRIN2D
orphenadrine	GRIN3A
orphenadrine	GRIN3B
orphenadrine	HRH1
orphenadrine	SCN10A
orphenadrine	SLC6A2
oxybenzone	LIPE
olomoucine	CDK1
olomoucine	CDK2
olomoucine	CDK5
olomoucine	MAPK1
olvanil	TRPV1
olvanil	CNR1
olvanil	GPR119
oxindole-I	AKT1
oxindole-I	KDR
oxindole-I	PDPK1
oxindole-I	RET
oxymetazoline	ADRA1A
oxymetazoline	ADRA2A
oxymetazoline	ADRA1B
oxymetazoline	ADRA1D
oxymetazoline	ADRA2B
oxymetazoline	ADRA2C
oxymetazoline	CYP2C19
oxymetazoline	HTR1B
oxymetazoline	HTR1D
oxymetazoline	HTR2C
P-1075	KCNJ8
pantoprazole	ATP4A
pantoprazole	CYP2C19
pantoprazole	CYP3A4
papaverine	PDE10A
papaverine	PDE4B
papaverine	PDE5A
pargyline	MAOB
pargyline	MAOA
PCA-4248	PTAFR
PCO-400	ABCC9
PCO-400	KCNJ8
PD-102807	CHRM4
PD-123319	AGTR2
PD-160170	NPY1R
PD-166793	MMP13
PD-166793	MMP2
PD-166793	MMP3
PD-169316	ALOX5
PD-198306	MAP2K1
PD-198306	MAP2K2
PD-198306	MAPK1
PD-198306	MAPK3
SA-792987	WEE1
PD-98059	MAP2K1
PD-98059	AKT1
PD-98059	CHEK1
PD-98059	GSK3B
PD-98059	LCK
PD-98059	MAP2K2
PD-98059	MAPK1
PD-98059	MAPK11
PD-98059	MAPK12
PD-98059	MAPK14
PD-98059	MAPK3
PD-98059	MAPK8
PD-98059	PRKCA
PD-98059	RAF1
PD-98059	ROCK1
PD-98059	RPS6KB1
PD-98059	SGK1
D-64406	FLT3
D-64406	PDGFRA
D-64406	PDGFRB
penfluridol	CACNA1G
penfluridol	DRD1
penfluridol	DRD2
pentoxifylline	TNF
pentoxifylline	ACHE
pentoxifylline	ADORA1
pentoxifylline	ADORA2A
pentoxifylline	ADRA2B
pentoxifylline	CHIA
pentoxifylline	NT5E
pentoxifylline	PDE4A
pentoxifylline	PDE4B
pentoxifylline	PDE5A
PHA-665752	MET
phenazopyridine	SCN1A
pheniramine	HRH1
phenoxybenzamine	ADRA2B
phenoxybenzamine	ADRA1A
phenoxybenzamine	ADRA1B
phenoxybenzamine	ADRA1D
phenoxybenzamine	ADRA2A
phenoxybenzamine	ADRA2C
phenoxybenzamine	ADRB2
phenoxybenzamine	CALM1
phentolamine	ADRA1A
phentolamine	ADRA2A
phentolamine	ADRA1B
phentolamine	ADRA1D
phentolamine	ADRA2B
phentolamine	ADRA2C
phenylbutazone	PTGS2
phenylbutazone	PTGS1
phenylbutazone	PTGIS
PHTPP	ESR2
piceatannol	ATP5A1
piceatannol	ATP5B
piceatannol	ATP5C1
piceatannol	IRF3
piceatannol	PTGS2
piceatannol	SIRT1
piceatannol	SYK
piceatannol	TYR
pinacidil	ABCC9
pinacidil	KCNJ8
pinocembrin	AR
pinocembrin	CYP1B1
pinocembrin	SRD5A1
pinocembrin	SRD5A2
pirenzepine	CHRM1
pirenzepine	CHRM2
pirenzepine	CHRM3
pirenzepine	CHRM4
pirenzepine	CHRM5
PIT	P2RY1
PK-11195	TSPO
PK-11195	NR1I2
PK-11195	NR1I3
midostaurin	FLT3
midostaurin	KIT
midostaurin	CCNB1
midostaurin	FLT1
midostaurin	KDR
midostaurin	PDGFRB
midostaurin	PRKCA
midostaurin	PRKCG
midostaurin	VEGFA
PNU-120596	CHRNA7
PNU-22394	MAOA
PNU-22394	MAOB
PNU-282987	CHRNA7
podophyllotoxin	IGF1R
podophyllotoxin	CASP3
podophyllotoxin	TOP2A
podophyllotoxin	TUBA4A
podophyllotoxin	TUBB
PP-1	HCK
PP-1	RET
PP-1	SRC
PP-2	SRC
PP-2	LCK
PP-2	ABL1
PP-2	LYN
PP-2	RIPK2
PPT	ESR1
PQ-401	IGF1R
pravastatin	HMGCR
pravastatin	SLCO1B1
prazosin	ADRA1A
prazosin	ADRA1B
prazosin	ADRA1D
prazosin	ADRA2A
prazosin	ADRA2B
prazosin	ADRA2C
prazosin	CDK1
prazosin	KCNH2
prazosin	KCNH6
prazosin	KCNH7
probenecid	SLC22A6
probenecid	ABCC1
probenecid	PANX1
probenecid	SLC22A11
probenecid	SLC22A8
probenecid	SLCO1C1
probenecid	TRPV2
probucol	ABCA1
probucol	ABCB11
probucol	CES1
procainamide	SCN5A
procainamide	DNMT1
propafenone	KCNH2
propafenone	SCN5A
propafenone	ADRB1
propafenone	ADRB2
propafenone	KCNA5
propafenone	KCNK2
propafenone	KCNK3
propofol	CYP2B6
propofol	FAAH
propofol	GABRA1
propofol	GABRA2
propofol	GABRA3
propofol	GABRA4
propofol	GABRA5
propofol	GABRA6
propofol	GABRB1
propofol	GABRB2
propofol	GABRB3
propofol	GABRD
propofol	GABRE
propofol	GABRG1
propofol	GABRG2
propofol	GABRG3
propofol	GABRP
propofol	GABRQ
propofol	SCN2A
propofol	SCN4A
propofol	TRPV1
beta-CCP	GABRA1
beta-CCP	GABRG2
beta-CCP	IDO1
prunetin	ABCG2
prunetin	ALDH2
PSB-11	ADORA3
PSB-11	ADORA1
PSB-11	ADORA2A
pseudoephedrine	ADRA1A
pseudoephedrine	ADRA2A
pseudoephedrine	ADRB1
pseudoephedrine	ADRB2
pseudoephedrine	ATF1
pseudoephedrine	ATF2
pseudoephedrine	ATF3
pseudoephedrine	ATF4
pseudoephedrine	ATF5
pseudoephedrine	ATF6
pseudoephedrine	ATF7
pseudoephedrine	CXCL8
pseudoephedrine	FOS
pseudoephedrine	HRH1
pseudoephedrine	IL2
pseudoephedrine	JDP2
pseudoephedrine	JUN
pseudoephedrine	NFATC1
pseudoephedrine	SLC6A2
pseudoephedrine	SLC6A3
pseudoephedrine	SLC6A4
pseudoephedrine	TNF
puromycin	NHP2L1
puromycin	RPL10L
puromycin	RPL11
puromycin	RPL13A
puromycin	RPL15
puromycin	RPL19
puromycin	RPL23
puromycin	RPL23A
puromycin	RPL26L1
puromycin	RPL3
puromycin	RPL37
puromycin	RPL8
puromycin	RSL24D1
mepyramine	HRH1
pyrimethamine	DHFR
pyrimethamine	DHFRP1
pyrimethamine	HEXA
pyrimethamine	SLC47A1
pyrimethamine	STAT3
palmitoylethanolamide	CNR2
palmitoylethanolamide	GPR119
palmitoylethanolamide	GPR55
parthenolide	ADIPOR2
parthenolide	IKBKB
parthenolide	RELA
phenanthridone	PARP1
phenformin	KCNJ8
phenformin	PRKAA1
phosphodiesterase-V-inhibitor-II	PDE5A
picotamide	TBXA2R
picotamide	TBXAS1
picrotoxin	GABRA1
picrotoxin	GLRA2
picrotoxin	GLRA3
picrotoxin	GABRR1
picrotoxin	GLRA1
picrotoxin	GLRB
picrotoxin	HTR3A
picrotoxin	HTR3B
pifithrin-alpha	TP53
pimozide	DRD2
pimozide	DRD3
pimozide	CACNA1I
pimozide	CALM1
pimozide	HRH1
pimozide	HTR1A
pimozide	HTR2A
pimozide	KCNA10
pimozide	KCNH2
piretanide	SLC12A1
piretanide	SLC12A2
pirfenidone	TNF
pirfenidone	FURIN
pirfenidone	MAPK14
pirfenidone	TNFRSF1A
procaterol	ADRB2
proxymetacaine	SCN10A
proxymetacaine	SCN5A
proxymetacaine	SCN9A
dinoprostone	PTGER2
dinoprostone	PTGER1
dinoprostone	PTGER3
dinoprostone	PTGER4
dinoprostone	CATSPER1
dinoprostone	CATSPER2
dinoprostone	CATSPER3
dinoprostone	CATSPER4
dinoprostone	PTGDR
dinoprostone	PTGDR2
dinoprostone	PTGFR
dinoprostone	TBXA2R
proxyfan	HRH3
purmorphamine	SMO
purmorphamine	DHH
purmorphamine	IHH
purmorphamine	PTCH1
pyrrolidine-dithiocarbamate	HSD11B1
pyrrolidine-dithiocarbamate	RELA
quinidine	SCN5A
quinidine	ABCB1
quinidine	CYP2D6
quinidine	KCNA5
quinidine	KCNA7
quinidine	KCNH1
quinidine	KCNH2
quinidine	KCNH5
quinidine	KCNK1
quinidine	KCNK6
quinidine	SLC29A4
QX-314	MAPK14
QX-314	TGFBR1
quercetin	PIK3CG
quercetin	AKR1B1
quercetin	ATP5A1
quercetin	ATP5B
quercetin	ATP5C1
quercetin	CYP2C8
quercetin	EGFR
quercetin	GAA
quercetin	HCK
quercetin	HIBCH
quercetin	MAOA
quercetin	PIM1
quercetin	PTPN1
quercetin	SCN5A
quercetin	SIRT1
quercetin	STK17B
quercetin	UGT3A1
quercetin	XDH
BRD-K84421793	DRD1
R-96544	HTR2A
ranolazine	SCN9A
ranolazine	SCN10A
ranolazine	SCN5A
ranolazine	SLC22A2
reserpine	SLC18A2
reserpine	SLC18A1
REV-5901	ALOX5
RG-13022	EGFR
RG-13022	PDGFRA
RG-13022	PDGFRB
RG-14620	EGFR
RHC-80267	DAGLA
RHC-80267	DAGLB
RHC-80267	LIPC
RHC-80267	LIPE
RHC-80267	LIPG
roscovitine	CDK2
roscovitine	CDK9
roscovitine	CDK7
roscovitine	CDK1
roscovitine	CDK5
rosiglitazone	PPARG
rosiglitazone	ACSL4
rosiglitazone	CYP2C8
rosiglitazone	FFAR1
rosiglitazone	INS
rosiglitazone	TRPC5
rosiglitazone	TRPM3
RS-100329	ADRA1A
RS-100329	ADRA1D
RS-102221	HTR2C
RS-102221	HTR2A
RS-102221	HTR2B
RS-17053	ADRA1A
RS-17053	ADRA1D
RS-504393	CCR2
RS-504393	CCL2
RS-56812	HTR3A
RS-67333	HTR4
RS-67506	HTR4
RWJ-21757	TLR7
ryanodine	RYR1
ryanodine	RYR2
ryanodine	RYR3
racecadotril	MME
raclopride	DRD2
raclopride	DRD3
raclopride	HTR1A
reboxetine	SLC6A2
remacemide	GRIN1
remoxipride	DRD2
remoxipride	DRD3
remoxipride	DRD4
remoxipride	HTR2A
remoxipride	SIGMAR1
rescinnamine	ACE
resveratrol	PTGS1
resveratrol	PTGS2
resveratrol	SIRT1
resveratrol	APOA1
resveratrol	BACE1
resveratrol	CSNK2A1
resveratrol	MAOA
resveratrol	NQO2
resveratrol	SCN5A
resveratrol	TXNRD1
resveratrol	TXNRD2
resveratrol	XDH
tretinoin	RARG
tretinoin	RORB
tretinoin	ALDH1A1
tretinoin	ALDH1A2
tretinoin	GPRC5A
tretinoin	NR0B1
tretinoin	NR2C2
tretinoin	PPARD
tretinoin	RARA
tretinoin	RARB
tretinoin	RARRES1
tretinoin	RORC
tretinoin	RXRB
tretinoin	RXRG
rilmenidine	NISCH
riluzole	KCND3
riluzole	KCNK10
riluzole	KCNK2
riluzole	KCNK4
riluzole	KCNN4
riluzole	SCN5A
riluzole	SLC7A11
rimcazole	SIGMAR1
rimexolone	NR3C1
rimexolone	SERPINA6
risperidone	DRD2
risperidone	HTR2A
risperidone	ADRA1A
risperidone	ADRA1B
risperidone	DRD3
risperidone	HRH1
risperidone	HTR1A
risperidone	HTR1D
risperidone	HTR2C
risperidone	ADRA1D
risperidone	ADRA2A
risperidone	ADRA2B
risperidone	ADRA2C
risperidone	CYP3A5
risperidone	DRD1
risperidone	DRD4
risperidone	HTR1B
risperidone	HTR1E
risperidone	HTR1F
risperidone	HTR6
risperidone	HTR7
RO-08-2750	NGFR
RO-08-2750	NGF
RO-10-5824	DRD4
RO-15-4513	GABRA1
RO-15-4513	GABRA2
RO-15-4513	GABRA3
RO-15-4513	GABRA5
RO-15-4513	GABRA4
RO-15-4513	GABRA6
RO-15-4513	GABRB2
RO-15-4513	GABRG2
RO-19-4605	GABRA1
RO-19-4605	GABRA2
RO-19-4605	GABRA3
RO-19-4605	GABRA5
RO-60-0175	HTR2C
RO-60-0175	HTR2A
RO-60-0175	HTR2B
rosmarinic-acid	MCL1
rosmarinic-acid	TYR
ryuvidine	CDK4
ryuvidine	CDK2
terguride	DRD2
terguride	HTR2A
terguride	HTR2B
terguride	ADRA1A
terguride	ADRA2A
terguride	ADRA2B
terguride	ADRA2C
terguride	DRD3
terguride	DRD4
terguride	HTR1A
terguride	HTR1B
terguride	HTR1D
terguride	HTR2C
terguride	PRL
lisuride	DRD2
lisuride	HTR2B
lisuride	HTR2C
lisuride	ADRA2A
lisuride	ADRA2B
lisuride	ADRA2C
lisuride	DRD1
lisuride	DRD3
lisuride	DRD4
lisuride	DRD5
lisuride	HTR1A
lisuride	HTR1B
lisuride	HTR1D
lisuride	HTR2A
lisuride	ADRA1A
lisuride	HRH1
lisuride	HTR6
salvinorin-a	OPRK1
salvinorin-a	OPRD1
salvinorin-a	OPRM1
SANT-1	DHH
SANT-1	IHH
SANT-1	PTCH1
SANT-1	SMO
sarmentogenin	ATP1A1
SB-200646	HTR2B
SB-200646	HTR2C
SB-202190	MAPK14
SB-202190	AKT1
SB-202190	ALOX5
SB-202190	CHEK1
SB-202190	GSK3B
SB-202190	LCK
SB-202190	MAPK1
SB-202190	MAPK11
SB-202190	MAPK12
SB-202190	MAPK8
SB-202190	PRKCA
SB-202190	ROCK1
SB-202190	RPS6KB1
SB-202190	SGK1
SB-203580	MAPK14
SB-203580	MAPK1
SB-203580	MAPK11
SB-203580	AKT1
SB-203580	ALOX5
SB-203580	CHEK1
SB-203580	CYP2D6
SB-203580	CYP3A4
SB-203580	GAK
SB-203580	GSK3B
SB-203580	LCK
SB-203580	MAPK10
SB-203580	MAPK12
SB-203580	MAPK8
SB-203580	MAPK9
SB-203580	PRKCA
SB-203580	RAF1
SB-203580	RIPK2
SB-203580	ROCK1
SB-203580	RPS6KB1
SB-203580	SGK1
SB-203580	SRC
SB-203580	TNF
SB-205384	GABRA3
SB-205384	GABRA5
SB-205384	GABRA6
SB-205607	OPRD1
SB-205607	OPRK1
SB-205607	OPRM1
SB-218795	TACR3
SB-221284	HTR2B
SB-221284	HTR2C
SB-221284	HTR2A
SB-222200	TACR3
SB-225002	CXCR2
SB-239063	MAPK11
SB-239063	MAPK14
SB-239063	PTGS2
SB-239063	TNF
SB-269970	HTR7
SB-334867	HCRTR1
SB-334867	HCRTR2
SB-366791	TRPV1
SB-408124	HCRTR1
SB-408124	HCRTR2
SB-415286	GSK3B
SB-415286	GSK3A
SB-415286	RPS6KB1
SB-431542	TGFBR1
SB-431542	ACVR1C
SB-431542	ACVR1B
SC-560	PTGS1
IKK-2-inhibitor	IKBKB
SC-68376	MAPK14
SCH-23390	DRD1
SCH-23390	DRD5
SCH-23390	HTR2C
SCH-23390	KCNJ4
SCH-23390	KCNJ6
ecopipam	DRD1
ecopipam	DRD5
ecopipam	DRD2
SCH-442416	ADORA1
SCH-442416	ADORA2A
SCH-442416	ADORA2B
SCH-442416	ADORA3
SCH-58261	ADORA2A
SCH-58261	ADORA1
SCH-58261	ADORA2B
SCH-58261	ADORA3
scopolamine	CHRM2
scopolamine	CHRM1
scopolamine	CHRM3
scopolamine	CHRM4
scopolamine	CHRM5
